conversation_id_str,created_at,full_text,in_reply_to_screen_name,lang,retweet_count,tweet_url,user_id_str,username,label_pakar,full_text_bersih,text_clean,text_normal,text_stopword,text_stemmed,skor_sentimen,label_sentimen,label_otomatis
2.05156e+18,2026-05-05T09:31:54.000Z,"@Xbacottetangga beruntung beliau nya seorang damkar, coba dia anggota sanusi...",Xbacottetangga,in,0,https://x.com/kirapras/status/2051595735054115042,1.98851e+18,kirapras,positif,"@Xbacottetangga beruntung beliau nya seorang damkar, coba dia anggota sanusi...",beruntung beliau nya seorang damkar coba dia anggota sanusi,beruntung beliau nya seorang damkar coba dia anggota sanusi,beruntung beliau nya seorang damkar coba anggota sanusi,beruntung beliau  seorang damkar coba anggota sanus,0,netral,netral
2.05197e+18,2026-05-06T10:06:44.000Z,"Pernah ngebayangin dr. Gia dan dr. Tirta jadi petugas pemadam kebakaran?
Gaya boleh berbeda, tapi tujuannya sama yaitu untuk melayani dan menjaga warga tetap aman.

#drGiadrTirta #PemadamJakarta #JagaJakarta #JAKI - @dkijakarta https://t.co/r4OGqlGBcx",,in,1,https://x.com/humasjakfire/status/2051966890231447745,555862521.0,humasjakfire,positif,"Pernah ngebayangin dr. Gia dan dr. Tirta jadi petugas pemadam kebakaran?
Gaya boleh berbeda, tapi tujuannya sama yaitu untuk melayani dan menjaga warga tetap aman.

#drGiadrTirta #PemadamJakarta #JagaJakarta #JAKI - @dkijakarta https://t.co/r4OGqlGBcx",pernah ngebayangin dr gia dan dr tirta jadi petugas pemadam kebakaran gaya boleh berbeda tapi tujuannya sama yaitu untuk melayani dan menjaga warga tetap aman drgiadrtirta pemadamjakarta jagajakarta jaki,pernah ngebayangin dr gia dan dr tirta jadi petugas pemadam kebakaran gaya boleh berbeda tapi tujuannya sama yaitu untuk melayani dan menjaga warga tetap aman drgiadrtirta pemadamjakarta jagajakarta jaki,pernah ngebayangin dr gia dr tirta jadi petugas pemadam kebakaran gaya boleh berbeda tapi tujuannya sama yaitu melayani menjaga warga tetap aman drgiadrtirta pemadamjakarta jagajakarta jaki,rnah ngebayangin dr gia dr tirta jad tugas madam bakaran gaya boleh berbeda tap tujuan sama yaitu layan njaga warga tetap aman drgiadrtirta madamjakarta jagajakarta jak,1,positif,positif
2.05304e+18,2026-05-09T09:08:55.000Z,"pekerjaan yg ga ada hatersnya

âœ¨DAMKARâœ¨",,in,21,https://x.com/unmagnetism/status/2053039501942141213,8.4327e+17,unmagnetism,positif,"pekerjaan yg ga ada hatersnya

âœ¨DAMKARâœ¨",pekerjaan yg ga ada hatersnya damkar,pekerjaan yang tidak ada hatersnya damkar,pekerjaan tidak ada hatersnya damkar,kerjaan tidak ada haters damkar,0,netral,netral
2.04506e+18,2026-04-17T08:22:53.000Z,"izin melaporkan minn, ada mobil tukang tahu bulat terbakar tkp di jl. kenari pukul 14:30wib sudah terkondisikan oleh petugas pemadam kebakaran, terimakasih pada pihak yang sudah membantu juga kepada petugas keamanan smkn 5 yogyakarta yang berkenan menggunakan apar guna membantu https://t.co/5iOfOkwwiJ",,in,0,https://x.com/merapi_uncover/status/2045055383832781286,1.2798e+18,merapi_uncover,positif,"izin melaporkan minn, ada mobil tukang tahu bulat terbakar tkp di jl. kenari pukul 14:30wib sudah terkondisikan oleh petugas pemadam kebakaran, terimakasih pada pihak yang sudah membantu juga kepada petugas keamanan smkn 5 yogyakarta yang berkenan menggunakan apar guna membantu https://t.co/5iOfOkwwiJ",izin melaporkan minn ada mobil tukang tahu bulat terbakar tkp di jl kenari pukul wib sudah terkondisikan oleh petugas pemadam kebakaran terimakasih pada pihak yang sudah membantu juga kepada petugas keamanan smkn yogyakarta yang berkenan menggunakan apar guna membantu,izin melaporkan minn ada mobil tukang tahu bulat terbakar tkp di jl kenari pukul wib sudah terkondisikan oleh petugas pemadam kebakaran terimakasih pada pihak yang sudah membantu juga kepada petugas keamanan smkn yogyakarta yang berkenan menggunakan apar guna membantu,izin melaporkan minn ada mobil tukang tahu bulat terbakar tkp jl kenari pukul wib terkondisikan oleh petugas pemadam kebakaran terimakasih pihak membantu kepada petugas keamanan smkn yogyakarta berkenan menggunakan apar guna membantu,izin lapor minn ada mobil tukang tahu bulat bakar tkp jl nar pukul wib kondisi oleh tugas madam bakaran imakasih pihak mbantu pada tugas amanan smkn yogyakarta berkenan ngguna apar guna mbantu,0,netral,netral
2.05184e+18,2026-05-06T10:31:18.000Z,"@Nocliping_ @kol5_story Afpi isinya petinggi panjul, ojeka jg miara panjul
Gak bakal diladenin
Itu kasus damkar, klo gak rame jg gak diputus kontrak tuh si dece/epce nya",Nocliping_,in,0,https://x.com/anantavartula/status/2051973070550966732,1.673e+18,anantavartula,netral,"@Nocliping_ @kol5_story Afpi isinya petinggi panjul, ojeka jg miara panjul
Gak bakal diladenin
Itu kasus damkar, klo gak rame jg gak diputus kontrak tuh si dece/epce nya",afpi isinya petinggi panjul ojeka jg miara panjul gak bakal diladenin itu kasus damkar klo gak rame jg gak diputus kontrak tuh si dece epce nya,afpi isinya petinggi panjul ojeka juga miara panjul tidak bakal diladenin itu kasus damkar klo tidak rame juga tidak diputus kontrak tuh si dece epce nya,afpi isinya petinggi panjul ojeka miara panjul tidak bakal diladenin kasus damkar klo tidak rame tidak diputus kontrak tuh si dece epce nya,afp is tingg panjul ojeka miara panjul tidak bakal ladenin kasus damkar klo tidak rame tidak putus kontrak tuh s dece epce ,0,netral,netral
2.05165e+18,2026-05-05T12:53:07.000Z,"Kemaren wamenaker nyuruh anak muda ciptain lapangan kerja, sekarang presiden minta kampus beresin masalah sampah sama lingkungan. Universitas itu harusnya jadi pusat riset dan inovasi, bukan jadi damkar buat birokrasi pemda yang anggarannya ada tapi gak becus ngeksekusinya",,in,0,https://x.com/GodDamnsUs/status/2051646369967096166,1.99987e+18,GodDamnsUs,netral,"Kemaren wamenaker nyuruh anak muda ciptain lapangan kerja, sekarang presiden minta kampus beresin masalah sampah sama lingkungan. Universitas itu harusnya jadi pusat riset dan inovasi, bukan jadi damkar buat birokrasi pemda yang anggarannya ada tapi gak becus ngeksekusinya",kemaren wamenaker nyuruh anak muda ciptain lapangan kerja sekarang presiden minta kampus beresin masalah sampah sama lingkungan universitas itu harusnya jadi pusat riset dan inovasi bukan jadi damkar buat birokrasi pemda yang anggarannya ada tapi gak becus ngeksekusinya,kemaren wamenaker nyuruh anak muda ciptain lapangan kerja sekarang presiden minta kampus beresin masalah sampah sama lingkungan universitas itu harusnya jadi pusat riset dan inovasi bukan jadi damkar buat birokrasi pemda yang anggarannya ada tapi tidak becus ngeksekusinya,kemaren wamenaker nyuruh anak muda ciptain lapangan kerja sekarang presiden minta kampus beresin masalah sampah sama lingkungan universitas harusnya jadi pusat riset inovasi bukan jadi damkar buat birokrasi pemda anggarannya ada tapi tidak becus ngeksekusinya,maren wamenaker nyuruh anak muda ciptain lapangan rja sekarang presiden minta kampus beresin masa sampah sama lingkungan universitas harus jad pusat riset inovas bu jad damkar buat birokras mda anggaran ada tap tidak becus ngeksekus,0,netral,netral
2.0533e+18,2026-05-10T07:09:03.000Z,"@_BangFu Suruh diem d rumah 5 jam dlm seminggu ..itungan baget jd orang. 

Atau ikutan jalan kaki /naik sepeda .drpd ngedumel  tensi. Asam lambung

Btw kalo ada sikon emergency msh bisa kok jalur busway tembus 
misal utk ambulans  pemadam kebakaran bs lewat",_BangFu,in,0,https://x.com/mas_T4keda/status/2053371725354832269,1.90111e+18,mas_T4keda,positif,"@_BangFu Suruh diem d rumah 5 jam dlm seminggu ..itungan baget jd orang. 

Atau ikutan jalan kaki /naik sepeda .drpd ngedumel  tensi. Asam lambung

Btw kalo ada sikon emergency msh bisa kok jalur busway tembus 
misal utk ambulans  pemadam kebakaran bs lewat",suruh diem d rumah jam dlm seminggu itungan baget jd orang atau ikutan jalan kaki naik sepeda drpd ngedumel tensi asam lambung btw kalo ada sikon emergency msh bisa kok jalur busway tembus misal utk ambulans pemadam kebakaran bs lewat,suruh diem d rumah jam dalam seminggu itungan baget jd orang atau ikutan jalan kaki naik sepeda drpd ngedumel tensi asam lambung btw kalau ada sikon emergency msh bisa kok jalur busway tembus misal untuk ambulans pemadam kebakaran bs lewat,suruh diem d rumah jam seminggu itungan baget jd orang ikutan jalan kaki naik sepeda drpd ngedumel tensi asam lambung btw kalau ada sikon emergency msh bisa kok jalur busway tembus misal ambulans pemadam kebakaran bs lewat,suruh em d rumah jam seminggu itungan baget jd orang ikutan jalan kak naik sepeda drpd ngedumel tens asam lambung btw kalau ada sikon emergency msh bisa kok jalur busway tembus misal ambulans madam bakaran bs lewat,0,netral,netral
2.05307e+18,2026-05-10T16:38:28.000Z,"@ImminentAdi @sibambaang ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£  eleeeh lu sambil cari tau juga kannn...wkwkwkw ðŸ¤£ðŸ¤£ðŸ¤£ jadii guru yang berkualitas, bersertifikasi  menerima penghasilan diatas rata2 pegawai lain seperti penyuluh pertanian, bahkan petugas  damkar.  Klo belum, artinya dia junior, belum pengalaman. Masa mau diratakan ðŸ¤£",ImminentAdi,in,0,https://x.com/rommybrother/status/2053515021750305063,2308405375.0,rommybrother,positif,"@ImminentAdi @sibambaang ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£  eleeeh lu sambil cari tau juga kannn...wkwkwkw ðŸ¤£ðŸ¤£ðŸ¤£ jadii guru yang berkualitas, bersertifikasi  menerima penghasilan diatas rata2 pegawai lain seperti penyuluh pertanian, bahkan petugas  damkar.  Klo belum, artinya dia junior, belum pengalaman. Masa mau diratakan ðŸ¤£",eleeeh lu sambil cari tau juga kannn wkwkwkw jadii guru yang berkualitas bersertifikasi menerima penghasilan diatas rata pegawai lain seperti penyuluh pertanian bahkan petugas damkar klo belum artinya dia junior belum pengalaman masa mau diratakan,eleeeh lu sambil cari tau juga kannn wkwkwkw jadii guru yang berkualitas bersertifikasi menerima penghasilan diatas rata pegawai lain seperti penyuluh pertanian bahkan petugas damkar klo belum artinya dia junior belum pengalaman masa mau diratakan,eleeeh lu sambil cari tau kannn wkwkwkw jadii guru berkualitas bersertifikasi menerima penghasilan diatas rata pegawai lain seperti penyuluh pertanian bahkan petugas damkar klo belum artinya junior belum pengalaman masa mau diratakan,eleeeh lu sambil car tau kannn wkwkwkw jadi guru berkualitas bersertifikas nerima nghasilan atas rata gawa lain sepert nyuluh rtanian bah tugas damkar klo belum art junior belum ngalaman masa mau rata,0,netral,netral
2.05312e+18,2026-05-10T10:13:48.000Z,@blueming_day Ini ya harus nya damkar harus ready selalu didepan istanaðŸ˜­,blueming_day,in,0,https://x.com/lilterbalik/status/2053418218723962906,1.9069e+18,lilterbalik,positif,@blueming_day Ini ya harus nya damkar harus ready selalu didepan istanaðŸ˜­,ini ya harus nya damkar harus ready selalu didepan istana,ini ya harus nya damkar harus ready selalu didepan istana,ya harus nya damkar harus ready selalu didepan istana,ya harus  damkar harus ready selalu depan istana,0,netral,netral
2.04982e+18,2026-04-30T12:09:07.000Z,"Selamat &amp; sukses untuk Dinas Pemadam Kebakaran dan Penyelamatan Kota Bekasi! ðŸ”¥ðŸ†
Atas prestasi gemilang sebagai Juara Umum National Fire Fighter Skill Competition 2026 di Palembang. https://t.co/IttsjDp7Yv",,in,0,https://x.com/pemkotbekasi/status/2049823359840772345,379647347.0,pemkotbekasi,positif,"Selamat &amp; sukses untuk Dinas Pemadam Kebakaran dan Penyelamatan Kota Bekasi! ðŸ”¥ðŸ†
Atas prestasi gemilang sebagai Juara Umum National Fire Fighter Skill Competition 2026 di Palembang. https://t.co/IttsjDp7Yv",selamat amp sukses untuk dinas pemadam kebakaran dan penyelamatan kota bekasi atas prestasi gemilang sebagai juara umum national fire fighter skill competition di palembang,selamat amp sukses untuk dinas pemadam kebakaran dan penyelamatan kota bekasi atas prestasi gemilang sebagai juara umum national fire fighter skill competition di palembang,selamat amp sukses dinas pemadam kebakaran penyelamatan kota bekasi atas prestasi gemilang sebagai juara umum national fire fighter skill competition palembang,selamat amp sukses nas madam bakaran nyelamatan kota bekas atas prestas gemilang sebaga juara umum national fire fighter skill competition palembang,2,positif,positif
2.04463e+18,2026-04-16T04:31:58.000Z,"Seekor ular piton sepanjang 6 meter dievakuasi petugas Pemadam Kebakaran dari rumah panggung warga di Jalan Antang, Makassar, Rabu (15/4/2026). Proses penanganan berlangsung dramatis selama satu jam karena ular bersikap agresif dan melilit kuat pada struktur kayu bangunan, https://t.co/w1wU0WuuF0",,in,0,https://x.com/Beritasatu/status/2044634882467639738,154102750.0,Beritasatu,positif,"Seekor ular piton sepanjang 6 meter dievakuasi petugas Pemadam Kebakaran dari rumah panggung warga di Jalan Antang, Makassar, Rabu (15/4/2026). Proses penanganan berlangsung dramatis selama satu jam karena ular bersikap agresif dan melilit kuat pada struktur kayu bangunan, https://t.co/w1wU0WuuF0",seekor ular piton sepanjang meter dievakuasi petugas pemadam kebakaran dari rumah panggung warga di jalan antang makassar rabu proses penanganan berlangsung dramatis selama satu jam karena ular bersikap agresif dan melilit kuat pada struktur kayu bangunan,seekor ular piton sepanjang meter dievakuasi petugas pemadam kebakaran dari rumah panggung warga di jalan antang makassar rabu proses penanganan berlangsung dramatis selama satu jam karena ular bersikap agresif dan melilit kuat pada struktur kayu bangunan,seekor ular piton sepanjang meter dievakuasi petugas pemadam kebakaran rumah panggung warga jalan antang makassar rabu proses penanganan berlangsung dramatis selama satu jam karena ular bersikap agresif melilit kuat struktur kayu bangunan,seekor ular piton sepanjang ter evakuas tugas madam bakaran rumah panggung warga jalan antang makassar rabu proses nanganan berlangsung dramatis selama satu jam karena ular bersikap agresif lilit kuat struktur kayu bangunan,0,netral,netral
2.05317e+18,2026-05-11T01:32:37.000Z,"@tanyakanrl Cuman ngerekam, ngedit, sama arrange skejul aja intinya. Nyupir geh tinggal nyetir, tiap hari jg nyetir. Petani ama damkar, lu kata kerjaannya kaga palugada?

Cuman karna lu gabisa kerja banyak dan gabisa multitasking, jangan lu pikir semua org kek elu. Validasi sampah apa ini...",tanyakanrl,in,0,https://x.com/creamfie/status/2053649444139307138,1.29866e+18,creamfie,netral,"@tanyakanrl Cuman ngerekam, ngedit, sama arrange skejul aja intinya. Nyupir geh tinggal nyetir, tiap hari jg nyetir. Petani ama damkar, lu kata kerjaannya kaga palugada?

Cuman karna lu gabisa kerja banyak dan gabisa multitasking, jangan lu pikir semua org kek elu. Validasi sampah apa ini...",cuman ngerekam ngedit sama arrange skejul aja intinya nyupir geh tinggal nyetir tiap hari jg nyetir petani ama damkar lu kata kerjaannya kaga palugada cuman karna lu gabisa kerja banyak dan gabisa multitasking jangan lu pikir semua org kek elu validasi sampah apa ini,cuman ngerekam ngedit sama arrange skejul aja intinya nyupir geh tinggal nyetir tiap hari juga nyetir petani ama damkar lu kata kerjaannya kaga palugada cuman karna lu gabisa kerja banyak dan gabisa multitasking jangan lu pikir semua org kek elu validasi sampah apa ini,cuman ngerekam ngedit sama arrange skejul aja intinya nyupir geh tinggal nyetir tiap hari nyetir petani ama damkar lu kata kerjaannya kaga palugada cuman karna lu gabisa kerja banyak gabisa multitasking jangan lu pikir semua org kek elu validasi sampah apa,cuman ngerekam ngedit sama arrange skejul aja int nyupir geh tinggal nyetir tiap har nyetir tan ama damkar lu kata rjaan kaga palugada cuman karna lu gabisa rja banyak gabisa multitasking jangan lu pikir semua org k elu validas sampah apa,0,netral,netral
2.05113e+18,2026-05-04T10:16:50.000Z,"@Lase32029 Kamu merasa terganggu saat ambulans minta jalurmu disalip, kamu bisa bertahan. Tapi jangan kira kamu bisa melakukan hal yang sama dengan mobil damkar yang sedang ""on fire"" tidak peduli kamu dari langit ketujuh pasti akan ditabrak kalau bertahan di depannya",Lase32029,in,1,https://x.com/goroositoo/status/2051244653358522595,9.43118e+17,goroositoo,positif,"@Lase32029 Kamu merasa terganggu saat ambulans minta jalurmu disalip, kamu bisa bertahan. Tapi jangan kira kamu bisa melakukan hal yang sama dengan mobil damkar yang sedang ""on fire"" tidak peduli kamu dari langit ketujuh pasti akan ditabrak kalau bertahan di depannya",kamu merasa terganggu saat ambulans minta jalurmu disalip kamu bisa bertahan tapi jangan kira kamu bisa melakukan hal yang sama dengan mobil damkar yang sedang on fire tidak peduli kamu dari langit ketujuh pasti akan ditabrak kalau bertahan di depannya,kamu merasa terganggu saat ambulans minta jalurmu disalip kamu bisa bertahan tapi jangan kira kamu bisa melakukan hal yang sama dengan mobil damkar yang sedang on fire tidak peduli kamu dari langit ketujuh pasti akan ditabrak kalau bertahan di depannya,kamu merasa terganggu saat ambulans minta jalurmu disalip kamu bisa bertahan tapi jangan kira kamu bisa melakukan hal sama mobil damkar sedang on fire tidak peduli kamu langit ketujuh pasti akan ditabrak kalau bertahan depannya,ka rasa ganggu saat ambulans minta jalur salip ka bisa bertahan tap jangan kira ka bisa laku hal sama mobil damkar sedang on fire tidak dul ka langit tujuh past a tabrak kalau bertahan depan,0,netral,netral
2.0537e+18,2026-05-11T06:38:42.000Z,"@vincentrcrd @BudiBukanIntel Silakan coba buka-buka contoh kasus damkar era harry sabarno, atau transjakarta era jokowi. Dan posisi konsultan di kasus itu",vincentrcrd,in,0,https://x.com/afathngantuk/status/2053726476059709835,1370954100.0,afathngantuk,netral,"@vincentrcrd @BudiBukanIntel Silakan coba buka-buka contoh kasus damkar era harry sabarno, atau transjakarta era jokowi. Dan posisi konsultan di kasus itu",silakan coba buka buka contoh kasus damkar era harry sabarno atau transjakarta era jokowi dan posisi konsultan di kasus itu,silakan coba buka buka contoh kasus damkar era harry sabarno atau transjakarta era jokowi dan posisi konsultan di kasus itu,silakan coba buka buka contoh kasus damkar era harry sabarno transjakarta era jokowi posisi konsultan kasus,sila coba buka buka contoh kasus damkar era harry sabarno transjakarta era jokow posis konsultan kasus,0,netral,netral
2.05292e+18,2026-05-10T03:02:40.000Z,@heyydwig bawa damkar dong,heyydwig,in,0,https://x.com/xyogzz_/status/2053309719029465586,1.40093e+18,xyogzz_,positif,@heyydwig bawa damkar dong,bawa damkar dong,bawa damkar dong,bawa damkar dong,bawa damkar dong,0,netral,netral
2.04822e+18,2026-04-26T01:45:51.000Z,"DC Pinjol yang Kerjai Damkar Tagih Hutang, Gantian di Kerjai dihukum Cosplay jadi Pemadam https://t.co/XLZaSjHsjI",,in,22,https://x.com/Jateng_Twit/status/2048216957921677511,785145642.0,Jateng_Twit,netral,"DC Pinjol yang Kerjai Damkar Tagih Hutang, Gantian di Kerjai dihukum Cosplay jadi Pemadam https://t.co/XLZaSjHsjI",dc pinjol yang kerjai damkar tagih hutang gantian di kerjai dihukum cosplay jadi pemadam,dc pinjol yang kerjai damkar tagih hutang gantian di kerjai dihukum cosplay jadi pemadam,dc pinjol kerjai damkar tagih hutang gantian kerjai dihukum cosplay jadi pemadam,dc pinjol rja damkar tagih hutang gantian rja hukum cosplay jad madam,0,netral,netral
2.05131e+18,2026-05-04T14:31:30.000Z,"Info kebakaran malam ini lurr lokasi di metro sport center Peterongan sebelah java mall Semarang.

Saat ini api sudah falam penanggan pihak damkar. Kejadian 4 mei 2026 https://t.co/52VrtHbxJM",,in,6,https://x.com/Jateng_Twit/status/2051308743477059857,785145642.0,Jateng_Twit,positif,"Info kebakaran malam ini lurr lokasi di metro sport center Peterongan sebelah java mall Semarang.

Saat ini api sudah falam penanggan pihak damkar. Kejadian 4 mei 2026 https://t.co/52VrtHbxJM",info kebakaran malam ini lurr lokasi di metro sport center peterongan sebelah java mall semarang saat ini api sudah falam penanggan pihak damkar kejadian mei,info kebakaran malam ini lurr lokasi di metro sport center peterongan sebelah java mall semarang saat ini api sudah falam penanggan pihak damkar kejadian mei,info kebakaran malam lurr lokasi metro sport center peterongan sebelah java mall semarang saat api falam penanggan pihak damkar kejadian mei,info bakaran malam lurr lokas tro sport center terongan sebe java mall semarang saat ap falam nanggan pihak damkar jadian ,0,netral,netral
2.04974e+18,2026-04-30T06:19:45.000Z,"Petugas pemadam kebakaran Jakarta hingga saat ini masih berupaya mengevakuasi penghuni Apartemen Mediterania di Tanjung Duren, Grogol Petamburan, Jakarta Barat. Beberapa penghuni masih terjebak di dalam apartemen.

&gt;&gt; https://t.co/z7NC0fX2yZ https://t.co/QKBoXFzjgX",,in,13,https://x.com/detikcom/status/2049735439662317853,69183155.0,detikcom,positif,"Petugas pemadam kebakaran Jakarta hingga saat ini masih berupaya mengevakuasi penghuni Apartemen Mediterania di Tanjung Duren, Grogol Petamburan, Jakarta Barat. Beberapa penghuni masih terjebak di dalam apartemen.

&gt;&gt; https://t.co/z7NC0fX2yZ https://t.co/QKBoXFzjgX",petugas pemadam kebakaran jakarta hingga saat ini masih berupaya mengevakuasi penghuni apartemen mediterania di tanjung duren grogol petamburan jakarta barat beberapa penghuni masih terjebak di dalam apartemen gt gt,petugas pemadam kebakaran jakarta hingga saat ini masih berupaya mengevakuasi penghuni apartemen mediterania di tanjung duren grogol petamburan jakarta barat beberapa penghuni masih terjebak di dalam apartemen gt gt,petugas pemadam kebakaran jakarta hingga saat masih berupaya mengevakuasi penghuni apartemen mediterania tanjung duren grogol petamburan jakarta barat beberapa penghuni masih terjebak apartemen gt gt,tugas madam bakaran jakarta hingga saat masih berupaya ngevakuas nghun apartemen diterania tanjung duren grogol tamburan jakarta barat beberapa nghun masih jebak apartemen gt gt,0,netral,netral
2.05346e+18,2026-05-10T13:08:09.000Z,"@munvess hello, ayo jbjb sampai dipisahkan damkar.",munvess,in,0,https://x.com/daffodiloe/status/2053462093446410584,1246252406.0,daffodiloe,netral,"@munvess hello, ayo jbjb sampai dipisahkan damkar.",hello ayo jbjb sampai dipisahkan damkar,hello ayo jbjb sampai dipisahkan damkar,hello ayo jbjb sampai dipisahkan damkar,hello ayo jbjb sampa pisah damkar,0,netral,netral
1.81102e+18,2026-05-06T14:51:15.000Z,@twentyfouryaz NGAPA ADA DAMKAR JIRðŸ˜­ðŸ˜­,twentyfouryaz,in,0,https://x.com/blushieecheeks/status/2052038488833622427,2.0348e+18,blushieecheeks,netral,@twentyfouryaz NGAPA ADA DAMKAR JIRðŸ˜­ðŸ˜­,ngapa ada damkar jir,ngapa ada damkar jir,ngapa ada damkar jir,ngapa ada damkar jir,0,netral,netral
