conversation_id_str,created_at,full_text,in_reply_to_screen_name,lang,retweet_count,tweet_url,user_id_str,username,label_pakar,full_text_bersih,text_clean,text_normal,text_stopword,text_stemmed,skor_sentimen,label_sentimen,label_otomatis,label_prediksi_nb,label_prediksi_svm
2.05179e+18,2026-05-05T22:33:10.000Z,"Jadi inget tragedi dirumah perkara tawon ini, sampe manggil Damkar buat buang sarang tawon nya ðŸ˜­
Alhamdulillah orangnya ga sampe meninggal, tapi sempet masuk ICU ðŸ˜­",,in,0,https://x.com/Dewi_okta96/status/2051792346493432148,1.35099e+18,Dewi_okta96,positif,"Jadi inget tragedi dirumah perkara tawon ini, sampe manggil Damkar buat buang sarang tawon nya ðŸ˜­
Alhamdulillah orangnya ga sampe meninggal, tapi sempet masuk ICU ðŸ˜­",jadi inget tragedi dirumah perkara tawon ini sampe manggil damkar buat buang sarang tawon nya alhamdulillah orangnya ga sampe meninggal tapi sempet masuk icu,jadi inget tragedi dirumah perkara tawon ini sampai manggil damkar buat buang sarang tawon nya alhamdulillah orangnya tidak sampai meninggal tapi sempet masuk icu,jadi inget tragedi dirumah perkara tawon sampai manggil damkar buat buang sarang tawon nya alhamdulillah orangnya tidak sampai meninggal tapi sempet masuk icu,jad inget traged rumah rkara tawon sampa manggil damkar buat buang sarang tawon  alhamdulil orang tidak sampa ninggal tap sempet masuk icu,0,netral,netral,positif,positif
2.05365e+18,2026-05-11T05:34:02.000Z,"@shin_977 Dikira damkar kali ya, suruh siap siaga ðŸ˜­",shin_977,in,0,https://x.com/sgwkshin/status/2053710199987568883,1.37688e+18,sgwkshin,negatif,"@shin_977 Dikira damkar kali ya, suruh siap siaga ðŸ˜­",dikira damkar kali ya suruh siap siaga,dikira damkar kali ya suruh siap siaga,dikira damkar kali ya suruh siap siaga,kira damkar kal ya suruh siap siaga,1,positif,positif,positif,positif
2.04463e+18,2026-04-16T04:31:58.000Z,"Seekor ular piton sepanjang 6 meter dievakuasi petugas Pemadam Kebakaran dari rumah panggung warga di Jalan Antang, Makassar, Rabu (15/4/2026). Proses penanganan berlangsung dramatis selama satu jam karena ular bersikap agresif dan melilit kuat pada struktur kayu bangunan, https://t.co/w1wU0WuuF0",,in,0,https://x.com/Beritasatu/status/2044634882467639738,154102750.0,Beritasatu,positif,"Seekor ular piton sepanjang 6 meter dievakuasi petugas Pemadam Kebakaran dari rumah panggung warga di Jalan Antang, Makassar, Rabu (15/4/2026). Proses penanganan berlangsung dramatis selama satu jam karena ular bersikap agresif dan melilit kuat pada struktur kayu bangunan, https://t.co/w1wU0WuuF0",seekor ular piton sepanjang meter dievakuasi petugas pemadam kebakaran dari rumah panggung warga di jalan antang makassar rabu proses penanganan berlangsung dramatis selama satu jam karena ular bersikap agresif dan melilit kuat pada struktur kayu bangunan,seekor ular piton sepanjang meter dievakuasi petugas pemadam kebakaran dari rumah panggung warga di jalan antang makassar rabu proses penanganan berlangsung dramatis selama satu jam karena ular bersikap agresif dan melilit kuat pada struktur kayu bangunan,seekor ular piton sepanjang meter dievakuasi petugas pemadam kebakaran rumah panggung warga jalan antang makassar rabu proses penanganan berlangsung dramatis selama satu jam karena ular bersikap agresif melilit kuat struktur kayu bangunan,seekor ular piton sepanjang ter evakuas tugas madam bakaran rumah panggung warga jalan antang makassar rabu proses nanganan berlangsung dramatis selama satu jam karena ular bersikap agresif lilit kuat struktur kayu bangunan,0,netral,netral,positif,positif
2.0531e+18,2026-05-10T02:32:01.000Z,"@KapudS640 Yang harusnya mahal: 
1. Gaji guru 
2. Gaji nakes
3. gaji damkar
4. saptam BCA 
5. Tim sar basarnas",KapudS640,in,0,https://x.com/cocoki24/status/2053302006115365032,2534190624.0,cocoki24,positif,"@KapudS640 Yang harusnya mahal: 
1. Gaji guru 
2. Gaji nakes
3. gaji damkar
4. saptam BCA 
5. Tim sar basarnas",yang harusnya mahal gaji guru gaji nakes gaji damkar saptam bca tim sar basarnas,yang harusnya mahal gaji guru gaji nakes gaji damkar saptam bca tim sar basarnas,harusnya mahal gaji guru gaji nakes gaji damkar saptam bca tim sar basarnas,harus mahal gaj guru gaj nakes gaj damkar saptam bca tim sar basarnas,-1,negatif,negatif,positif,positif
2.05115e+18,2026-05-04T03:49:28.000Z,Kalo di indo kan kalo manggil isilop gabisa mending panggil damkar aja yaa suruh semprot air ke orang2 yang ngintilin bangtan. Di semprot air pake pressure tinggi gitu juga mental,,in,0,https://x.com/juseaona/status/2051147168380342284,1.01484e+18,juseaona,positif,Kalo di indo kan kalo manggil isilop gabisa mending panggil damkar aja yaa suruh semprot air ke orang2 yang ngintilin bangtan. Di semprot air pake pressure tinggi gitu juga mental,kalo di indo kan kalo manggil isilop gabisa mending panggil damkar aja yaa suruh semprot air ke orang yang ngintilin bangtan di semprot air pake pressure tinggi gitu juga mental,kalau di indo kan kalau manggil isilop gabisa mending panggil damkar aja yaa suruh semprot air ke orang yang ngintilin bangtan di semprot air pake pressure tinggi gitu juga mental,kalau indo kan kalau manggil isilop gabisa mending panggil damkar aja yaa suruh semprot air orang ngintilin bangtan semprot air pake pressure tinggi gitu mental,kalau indo  kalau manggil isilop gabisa nding panggil damkar aja yaa suruh semprot air orang ngintilin bangtan semprot air pake pressure tingg gitu ntal,0,netral,netral,positif,positif
2.05156e+18,2026-05-05T09:31:54.000Z,"@Xbacottetangga beruntung beliau nya seorang damkar, coba dia anggota sanusi...",Xbacottetangga,in,0,https://x.com/kirapras/status/2051595735054115042,1.98851e+18,kirapras,positif,"@Xbacottetangga beruntung beliau nya seorang damkar, coba dia anggota sanusi...",beruntung beliau nya seorang damkar coba dia anggota sanusi,beruntung beliau nya seorang damkar coba dia anggota sanusi,beruntung beliau nya seorang damkar coba anggota sanusi,beruntung beliau  seorang damkar coba anggota sanus,0,netral,netral,positif,positif
2.04801e+18,2026-04-25T11:52:47.000Z,"dialah pemadam kebakaran gue, ganteng bgt my sayangðŸ¥¹ðŸ¤ https://t.co/CGvfRca0cG",,in,170,https://x.com/sugarydumpie/status/2048007308316430510,1.71635e+18,sugarydumpie,positif,"dialah pemadam kebakaran gue, ganteng bgt my sayangðŸ¥¹ðŸ¤ https://t.co/CGvfRca0cG",dialah pemadam kebakaran gue ganteng bgt my sayang,dialah pemadam kebakaran saya ganteng banget my sayang,dialah pemadam kebakaran ganteng banget my sayang,a madam bakaran ganteng banget my sayang,0,netral,netral,positif,positif
2.05272e+18,2026-05-10T03:00:02.000Z,"@wantgyibo Diselamatin damkar bang, aman ya. Makasih udah peduli sama adiknya ðŸ¥¹",wantgyibo,in,0,https://x.com/Nikshimura/status/2053309057000206729,9.38422e+17,Nikshimura,positif,"@wantgyibo Diselamatin damkar bang, aman ya. Makasih udah peduli sama adiknya ðŸ¥¹",diselamatin damkar bang aman ya makasih udah peduli sama adiknya,diselamatin damkar bang aman ya makasih udah peduli sama adiknya,diselamatin damkar bang aman ya makasih udah peduli sama adiknya,selamatin damkar bang aman ya makasih udah dul sama adik,2,positif,positif,positif,positif
2.0517e+18,2026-05-05T16:18:06.000Z,Kalau ada eksistensi manusia paling imut satu dunia.. satu alam semesta.. itulah PACARKU. Kalau ada eksitensi manusia kecil.. manusia ringkih.. tapi tetap imut.. itulah PACARKU. DAMKAR TOLONG SAYA. Siapa sih yang nyuruh dia seimut itu anjir gila ya kalian.. mungkin gua yang gila.,,in,1,https://x.com/Sonderlined/status/2051697957771354618,3550457472.0,Sonderlined,netral,Kalau ada eksistensi manusia paling imut satu dunia.. satu alam semesta.. itulah PACARKU. Kalau ada eksitensi manusia kecil.. manusia ringkih.. tapi tetap imut.. itulah PACARKU. DAMKAR TOLONG SAYA. Siapa sih yang nyuruh dia seimut itu anjir gila ya kalian.. mungkin gua yang gila.,kalau ada eksistensi manusia paling imut satu dunia satu alam semesta itulah pacarku kalau ada eksitensi manusia kecil manusia ringkih tapi tetap imut itulah pacarku damkar tolong saya siapa sih yang nyuruh dia seimut itu anjir gila ya kalian mungkin gua yang gila,kalau ada eksistensi manusia paling imut satu dunia satu alam semesta itulah pacarku kalau ada eksitensi manusia kecil manusia ringkih tapi tetap imut itulah pacarku damkar tolong saya siapa sih yang nyuruh dia seimut itu anjir gila ya kalian mungkin gua yang gila,kalau ada eksistensi manusia paling imut satu dunia satu alam semesta itulah pacarku kalau ada eksitensi manusia kecil manusia ringkih tapi tetap imut itulah pacarku damkar tolong siapa sih nyuruh seimut anjir gila ya kalian mungkin gua gila,kalau ada eksistens manusia paling imut satu dunia satu alam semesta itu pacar kalau ada eksitens manusia cil manusia ringkih tap tetap imut itu pacar damkar tolong siapa sih nyuruh seimut anjir gila ya kalian mungkin gua gila,0,netral,netral,positif,positif
2.0522e+18,2026-05-07T01:41:11.000Z,"Upacara Peringatan HUT Satpol PP ke-76, Satlinmas ke-64, dan Damkar &amp; Penyelamatan ke-107 ðŸ”¥ðŸ‡®ðŸ‡©

Dedikasi tanpa henti untuk menjaga ketertiban, melindungi masyarakat, dan sigap dalam setiap keadaan. Terima kasih atas pengabdian yang luar biasa untuk Kota Denpasar.

#SatpolPP https://t.co/eIqUwzXs48",,in,0,https://x.com/DenpasarKota/status/2052202048914129331,474836414.0,DenpasarKota,positif,"Upacara Peringatan HUT Satpol PP ke-76, Satlinmas ke-64, dan Damkar &amp; Penyelamatan ke-107 ðŸ”¥ðŸ‡®ðŸ‡©

Dedikasi tanpa henti untuk menjaga ketertiban, melindungi masyarakat, dan sigap dalam setiap keadaan. Terima kasih atas pengabdian yang luar biasa untuk Kota Denpasar.

#SatpolPP https://t.co/eIqUwzXs48",upacara peringatan hut satpol pp ke satlinmas ke dan damkar amp penyelamatan ke dedikasi tanpa henti untuk menjaga ketertiban melindungi masyarakat dan sigap dalam setiap keadaan terima kasih atas pengabdian yang luar biasa untuk kota denpasar satpolpp,upacara peringatan hut satpol pp ke satlinmas ke dan damkar amp penyelamatan ke dedikasi tanpa henti untuk menjaga ketertiban melindungi masyarakat dan sigap dalam setiap keadaan terima kasih atas pengabdian yang luar biasa untuk kota denpasar satpolpp,upacara peringatan hut satpol pp satlinmas damkar amp penyelamatan dedikasi tanpa henti menjaga ketertiban melindungi masyarakat sigap setiap keadaan terima kasih atas pengabdian luar biasa kota denpasar satpolpp,upacara ringatan hut satpol pp satlinmas damkar amp nyelamatan dedikas tanpa hent njaga tertiban lindung masyarakat sigap setiap adaan ima kasih atas ngabdian luar biasa kota denpasar satpolpp,2,positif,positif,positif,positif
